year,varname,varnumber,original_table,physical_tables,classification,imputationvar,imputation_flag_tables
2023,NPIS420,71521,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPIS420,
2023,NPIS430,71526,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPIS430,
2023,NPIS440,71531,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPIS440,
2023,NPT420,71656,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPT420,
2023,NPT430,71661,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPT430,
2023,NPT440,71666,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XNPT440,
2023,GISTN2,70496,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTN2,
2023,GISTON2,70501,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTON2,
2023,GISTWF2,70506,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTWF2,
2023,GISTOF2,70511,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTOF2,
2023,GISTUN2,70516,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTUN2,
2023,GISTT2,70521,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTT2,
2023,GISTA2,70526,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTA2,
2023,GISTN1,70531,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTN1,
2023,GISTON1,70536,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTON1,
2023,GISTWF1,70541,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTWF1,
2023,GISTOF1,70546,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTOF1,
2023,GISTUN1,70551,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTUN1,
2023,GISTT1,70556,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTT1,
2023,GISTA1,70561,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTA1,
2023,GISTN0,70566,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTN0,
2023,GISTON0,70571,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTON0,
2023,GISTWF0,70576,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTWF0,
2023,GISTOF0,70581,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTOF0,
2023,GISTUN0,70586,SFA2223_P1,SFA2223_P2,unique_physical_mismatch,XGISTUN0,
